2023-11-02 10:54:55,356 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:05:43,369 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:11:01,107 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:13:34,108 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:15:20,175 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:20:11,187 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:20:11,187 INFO [test_flights_search] | test_flights_search.py(test_flights_search:25) | - flights type selected is: Economy
2023-11-02 11:29:39,850 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:29:40,035 INFO [test_flights_search] | test_flights_search.py(test_flights_search:26) | - flights type selected is: Economy
2023-11-02 11:29:40,468 INFO [test_flights_search] | test_flights_search.py(test_flights_search:29) | - one way is selected
2023-11-02 11:34:02,555 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:34:02,665 INFO [test_flights_search] | test_flights_search.py(test_flights_search:26) | - flights type selected is: Economy
2023-11-02 11:34:03,092 INFO [test_flights_search] | test_flights_search.py(test_flights_search:29) | - one way is selected
2023-11-02 11:35:38,105 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:35:38,779 INFO [test_flights_search] | test_flights_search.py(test_flights_search:26) | - flights type selected is: Economy
2023-11-02 11:35:38,829 INFO [test_flights_search] | test_flights_search.py(test_flights_search:29) | - one way is selected
2023-11-02 11:37:42,503 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:37:42,615 INFO [test_flights_search] | test_flights_search.py(test_flights_search:26) | - flights type selected is: Economy
2023-11-02 11:37:43,041 INFO [test_flights_search] | test_flights_search.py(test_flights_search:29) | - one way is selected
2023-11-02 11:40:53,109 INFO [test_flights_search] | test_flights_search.py(test_flights_search:24) | - Entering FLIGHTS page
2023-11-02 11:40:53,784 INFO [test_flights_search] | test_flights_search.py(test_flights_search:26) | - flights type selected is: Economy
2023-11-02 11:40:53,836 INFO [test_flights_search] | test_flights_search.py(test_flights_search:29) | - one way is selected
2023-11-02 11:45:04,331 INFO [test_flights_search] | test_flights_search.py(test_flights_search:26) | - Entering FLIGHTS page
2023-11-02 11:45:04,448 INFO [test_flights_search] | test_flights_search.py(test_flights_search:28) | - flights type selected is: Economy
2023-11-02 11:45:04,874 INFO [test_flights_search] | test_flights_search.py(test_flights_search:31) | - one way is selected
2023-11-02 11:46:12,112 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-02 11:46:12,780 INFO [test_flights_search] | test_flights_search.py(test_flights_search:29) | - flights type selected is: Economy
2023-11-02 11:46:12,827 INFO [test_flights_search] | test_flights_search.py(test_flights_search:32) | - one way is selected
2023-11-02 11:52:49,640 INFO [test_flights_search] | test_flights_search.py(test_flights_search:28) | - Entering FLIGHTS page
2023-11-02 11:52:49,817 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-02 11:52:50,249 INFO [test_flights_search] | test_flights_search.py(test_flights_search:33) | - one way is selected
2023-11-02 11:55:07,960 INFO [test_flights_search] | test_flights_search.py(test_flights_search:28) | - Entering FLIGHTS page
2023-11-02 11:55:08,051 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-02 11:55:08,517 INFO [test_flights_search] | test_flights_search.py(test_flights_search:33) | - one way is selected
